"species","year","state","gear_group","landings_mt"
"stripetail rockfish",2023,"W","trawl",0.3031
"stripetail rockfish",2024,"C","trawl",9.2505
"stripetail rockfish",2024,"O","fixed-gear",0.0068
"stripetail rockfish",2024,"O","trawl",2.1992
"stripetail rockfish",2024,"W","trawl",0.0228
"stripetail rockfish",2025,"C","trawl",5.2862
"stripetail rockfish",2025,"C","fixed-gear",9e-04
"stripetail rockfish",2025,"O","trawl",2.3994
"stripetail rockfish",2025,"O","fixed-gear",5e-04
"stripetail rockfish",2025,"W","trawl",0.0043
"stripetail rockfish",2026,"C","trawl",2.9376
"stripetail rockfish",2026,"C","fixed-gear",7e-04
"stripetail rockfish",2026,"O","trawl",1.6394
"stripetail rockfish",2026,"W","trawl",1.4214
"pacific sanddab",1982,"C","trawl",0.0363
"pacific sanddab",1983,"C","trawl",0.029
"pacific sanddab",1987,"O","fixed-gear",0.5924
"pacific sanddab",1987,"O","trawl",211.7315
"pacific sanddab",1988,"O","fixed-gear",0.0272
"pacific sanddab",1988,"O","trawl",109.7031
"pacific sanddab",1989,"O","fixed-gear",0.0118
"pacific sanddab",1989,"O","trawl",73.8888
"pacific sanddab",1990,"C","trawl",0.0041
"pacific sanddab",1990,"O","fixed-gear",0.0068
"pacific sanddab",1990,"O","trawl",194.8637
"pacific sanddab",1991,"C","fixed-gear",0.0077
"pacific sanddab",1991,"O","fixed-gear",0.0023
"pacific sanddab",1991,"O","trawl",313.2826
"pacific sanddab",1992,"C","fixed-gear",0.0222
"pacific sanddab",1992,"O","fixed-gear",0.0086
"pacific sanddab",1992,"O","trawl",293.2579
"pacific sanddab",1993,"C","trawl",0.5484
"pacific sanddab",1993,"C","fixed-gear",5e-04
"pacific sanddab",1993,"O","fixed-gear",0.0145
"pacific sanddab",1993,"O","trawl",282.1884
"pacific sanddab",1994,"C","fixed-gear",0.2585
"pacific sanddab",1994,"C","trawl",41.1445
"pacific sanddab",1994,"O","trawl",516.9483
"pacific sanddab",1995,"C","fixed-gear",0.2155
"pacific sanddab",1995,"C","trawl",4.2787
"pacific sanddab",1995,"O","fixed-gear",9e-04
"pacific sanddab",1995,"O","trawl",682.0741
"pacific sanddab",1996,"C","fixed-gear",0.0018
"pacific sanddab",1996,"C","trawl",0.4327
"pacific sanddab",1996,"O","trawl",103.8745
"pacific sanddab",1996,"O","fixed-gear",0.0023
"pacific sanddab",1997,"C","fixed-gear",0.0222
"pacific sanddab",1997,"C","trawl",0.45
"pacific sanddab",1997,"O","trawl",241.2225
"pacific sanddab",1997,"O","fixed-gear",0.0054
"pacific sanddab",1998,"C","trawl",1.251
"pacific sanddab",1998,"O","trawl",132.3713
"pacific sanddab",1999,"C","trawl",11.067
"pacific sanddab",1999,"O","trawl",273.2631
"pacific sanddab",2000,"C","trawl",4.6776
"pacific sanddab",2000,"C","fixed-gear",0.0608
"pacific sanddab",2000,"O","trawl",145.9792
"pacific sanddab",2001,"C","trawl",7.6997
"pacific sanddab",2001,"C","fixed-gear",0.0108
"pacific sanddab",2001,"O","trawl",106.2676
"pacific sanddab",2002,"C","fixed-gear",0.0294
"pacific sanddab",2002,"O","trawl",227.0779
"pacific sanddab",2003,"C","trawl",521.5593
"pacific sanddab",2003,"C","fixed-gear",0.0848
"pacific sanddab",2003,"O","trawl",107.5449
"pacific sanddab",2004,"C","trawl",348.7678
"pacific sanddab",2004,"C","fixed-gear",0.0147
"pacific sanddab",2004,"O","trawl",131.8561
"pacific sanddab",2005,"C","trawl",120.3582
"pacific sanddab",2005,"C","fixed-gear",0.0059
"pacific sanddab",2005,"O","trawl",113.3831
"pacific sanddab",2006,"C","trawl",113.8698
"pacific sanddab",2006,"C","fixed-gear",0.1465
"pacific sanddab",2006,"O","trawl",295.9908
"pacific sanddab",2007,"C","trawl",157.8407
"pacific sanddab",2007,"C","fixed-gear",0.0059
"pacific sanddab",2007,"O","trawl",124.6626
"pacific sanddab",2007,"O","fixed-gear",9e-04
"pacific sanddab",2008,"C","trawl",124.53
"pacific sanddab",2008,"C","fixed-gear",2.4684
"pacific sanddab",2008,"O","trawl",67.539
"pacific sanddab",2009,"C","trawl",90.1802
"pacific sanddab",2009,"C","fixed-gear",2.011
"pacific sanddab",2009,"O","trawl",184.7114
"pacific sanddab",2010,"C","trawl",51.7559
"pacific sanddab",2010,"C","fixed-gear",3.6387
"pacific sanddab",2010,"O","trawl",100.4911
"pacific sanddab",2011,"C","fixed-gear",5.248
"pacific sanddab",2011,"C","trawl",43.4315
"pacific sanddab",2011,"O","trawl",94.2937
"pacific sanddab",2011,"O","fixed-gear",0.0132
"pacific sanddab",2012,"C","trawl",51.531
"pacific sanddab",2012,"C","fixed-gear",5.1067
"pacific sanddab",2012,"O","trawl",93.8229
"pacific sanddab",2013,"C","trawl",29.6669
"pacific sanddab",2013,"C","fixed-gear",4.8288
"pacific sanddab",2013,"O","trawl",111.4916
"pacific sanddab",2014,"C","fixed-gear",5.5071
"pacific sanddab",2014,"C","trawl",64.7944
"pacific sanddab",2014,"O","trawl",141.1339
"pacific sanddab",2015,"C","trawl",48.9255
"pacific sanddab",2015,"C","fixed-gear",4.7142
"pacific sanddab",2015,"O","trawl",108.8994
"pacific sanddab",2016,"C","trawl",40.2188
"pacific sanddab",2016,"C","fixed-gear",4.2409
"pacific sanddab",2016,"O","trawl",56.7657
"pacific sanddab",2017,"C","trawl",40.761
"pacific sanddab",2017,"C","fixed-gear",4.863
"pacific sanddab",2017,"O","fixed-gear",0.0014
"pacific sanddab",2017,"O","trawl",36.7927
"pacific sanddab",2018,"C","fixed-gear",6.5466
"pacific sanddab",2018,"C","trawl",57.52
"pacific sanddab",2018,"O","trawl",26.498
"pacific sanddab",2019,"C","trawl",27.9597
"pacific sanddab",2019,"C","fixed-gear",4.7828
"pacific sanddab",2019,"O","trawl",18.3809
"pacific sanddab",2020,"C","fixed-gear",4.6603
"pacific sanddab",2020,"C","trawl",6.3562
"pacific sanddab",2020,"O","trawl",12.3813
"pacific sanddab",2021,"C","trawl",37.0269
"pacific sanddab",2021,"C","fixed-gear",3.0413
"pacific sanddab",2021,"O","trawl",12.5346
"pacific sanddab",2022,"C","fixed-gear",3.5476
"pacific sanddab",2022,"C","trawl",17.1781
"pacific sanddab",2022,"O","fixed-gear",0.0014
"pacific sanddab",2022,"O","trawl",9.7486
"pacific sanddab",2023,"C","trawl",44.1766
"pacific sanddab",2023,"C","fixed-gear",3.0243
"pacific sanddab",2023,"O","trawl",7.8077
"pacific sanddab",2023,"O","fixed-gear",0.0041
"pacific sanddab",2024,"C","trawl",29.8981
"pacific sanddab",2024,"C","fixed-gear",1.2445
"pacific sanddab",2024,"O","trawl",15.1046
"pacific sanddab",2024,"O","fixed-gear",0.0027
"pacific sanddab",2025,"C","trawl",43.6154
"pacific sanddab",2025,"C","fixed-gear",3.6614
"pacific sanddab",2025,"O","trawl",11.6945
"pacific sanddab",2026,"C","trawl",17.7522
"pacific sanddab",2026,"C","fixed-gear",1.5607
"pacific sanddab",2026,"O","trawl",20.7342
"pacific sanddab",2026,"O","fixed-gear",0.0032
